Attribute Synonym,Parent Entity Synonym,UM Synonym,Attribute ID,Parent Entity ID,UM ID
Dew_Point,Occurrence,C,85,24,101
Dew_Point,Occurrence,F,85,24,103
Dew_Point,Occurrence,K,85,24,102
Height_Of_Cloud_Base,Occurrence,ft,140,24,2001
Height_Of_Cloud_Base,Occurrence,m,140,24,202
Maximum_Gust,Occurrence,km/h,176,24,1902
Maximum_Gust,Occurrence,kt,176,24,401
Maximum_Gust,Occurrence,m/s,176,24,404
Maximum_Gust,Occurrence,mph,176,24,405
Air_Temperature,Occurrence,C,287,24,101
Air_Temperature,Occurrence,F,287,24,103
Air_Temperature,Occurrence,K,287,24,102
Visibility,Occurrence,ft,310,24,2001
Visibility,Occurrence,km,310,24,2004
Visibility,Occurrence,m,310,24,202
Visibility,Occurrence,Mile(s),310,24,2003
Wind_Direction,Occurrence,Degree(s),320,24,1001
Wind_Speed,Occurrence,km/h,322,24,1902
Wind_Speed,Occurrence,kt,322,24,401
Wind_Speed,Occurrence,m/s,322,24,404
Wind_Speed,Occurrence,mph,322,24,405
Elevation_Above_MSL,Aerodrome_General,ft,4,1,2001
Elevation_Above_MSL,Aerodrome_General,m,4,1,202
Aircraft_Altitude,Aircraft,ft,22,4,2001
Aircraft_Altitude,Aircraft,m,22,4,202
Cleared_Altitude,Aircraft,ft,58,4,2001
Cleared_Altitude,Aircraft,m,58,4,202
Maximum_T_O_Mass,Aircraft,kg,175,4,901
Maximum_T_O_Mass,Aircraft,lb,175,4,1802
Maximum_T_O_Mass,Aircraft,t,175,4,902
Speed_First_Event,Aircraft,km/h,273,4,1902
Speed_First_Event,Aircraft,kt,273,4,401
Speed_First_Event,Aircraft,m/s,273,4,404
Speed_First_Event,Aircraft,Mach number,273,4,403
Speed_First_Event,Aircraft,mph,273,4,405
Aircraft_Total_Time,Aircraft,Hour(s),291,4,1201
Time_Deviating_FL,Aircraft,Minute(s),816,4,1303
Time_Deviating_FL,Aircraft,Second(s),816,4,303
Time_Since_Overhaul,Engine,Hour(s),389,13,1201
Time_Since_Overhaul,Engine,Minute(s),389,13,1303
Time_Since_Overhaul,Engine,Second(s),389,13,303
Time_Since_New,Engine,Hour(s),883,13,1201
Time_Since_Inspection,Engine,Hour(s),884,13,1201
Duty_Last_24_Hours,Flight_Crew_Member,Hour(s),403,17,1201
Duty_Last_24_Hours,Flight_Crew_Member,Minute(s),403,17,1303
Rest_Before_Duty,Flight_Crew_Member,Day(s),408,17,1302
Rest_Before_Duty,Flight_Crew_Member,Hour(s),408,17,1201
Rest_Before_Duty,Flight_Crew_Member,Minute(s),408,17,1303
Experience_All_A_C,Flight_Crew_Member,Day(s),410,17,1302
Experience_All_A_C,Flight_Crew_Member,Hour(s),410,17,1201
Experience_All_A_C,Flight_Crew_Member,Minute(s),410,17,1303
Experience_This_A_C,Flight_Crew_Member,Day(s),411,17,1302
Experience_This_A_C,Flight_Crew_Member,Hour(s),411,17,1201
Experience_This_A_C,Flight_Crew_Member,Minute(s),411,17,1303
Time_Since_New,Part_Information,Hour(s),660,26,1201
Time_Since_Overhaul,Part_Information,Hour(s),661,26,1201
Time_Since_Inspection,Part_Information,Hour(s),662,26,1201
Time_Since_New,Propeller,Hour(s),899,29,1201
Time_Since_Overhaul,Propeller,Hour(s),900,29,1201
Time_Since_Inspection,Propeller,Hour(s),901,29,1201
RTF_Frequency,Sector,kHz,619,33,2301
RTF_Frequency,Sector,MHz,619,33,2302
Duty_Time_In_Position,ATM_Staff,Hour(s),347,9,1201
Duty_Time_In_Position,ATM_Staff,Minute(s),347,9,1303
Est_Minimum_Horiz_Sep,Separation,km,575,34,2004
Est_Minimum_Horiz_Sep,Separation,m,575,34,202
Est_Minimum_Horiz_Sep,Separation,NM,575,34,2201
Req_Minimum_Horiz_Sep,Separation,km,577,34,2004
Req_Minimum_Horiz_Sep,Separation,m,577,34,202
Req_Minimum_Horiz_Sep,Separation,NM,577,34,2201
Min_Horiz_Sep_Rec,Separation,km,579,34,2004
Min_Horiz_Sep_Rec,Separation,m,579,34,202
Min_Horiz_Sep_Rec,Separation,NM,579,34,2201
Est_Vert_Separation,Separation,ft,581,34,2001
Est_Vert_Separation,Separation,m,581,34,202
Req_Vert_Separation,Separation,ft,583,34,2001
Req_Vert_Separation,Separation,m,583,34,202
Vertical_Sep_Recorded,Separation,ft,585,34,2001
Vertical_Sep_Recorded,Separation,m,585,34,202
Rate_Of_Closure,Separation,km/h,588,34,1902
Rate_Of_Closure,Separation,kt,588,34,401
Rate_Of_Closure,Separation,m/s,588,34,404
Rate_Of_Closure,Separation,mph,588,34,405
Height_Altitude,Separation_Aircraft,ft,597,35,2001
Height_Altitude,Separation_Aircraft,m,597,35,202